report_id,date,site,activity,reported_by,description
NM-2601,2026-01-04,Duliajan OCS-4,Equipment maintenance,Shift Supervisor,"During preventive maintenance of the booster pump at OCS-4 the 11 kV feeder cable was left ungrounded and the breaker was not racked out. The technician had already started cable jointing when the permit was checked; no LOTO was applied and no isolation certificate had been raised."
NM-2602,2026-01-06,Naharkatiya Rig-12,Working at height,Rig Mechanic,"A crew member was replacing a light fitting on the derrick monkey board at about 18 m. The fall-arrest lanyard was clipped to the handrail instead of the anchor point, and the secondary hook was missing. Work stopped when the safety officer noticed from the drill floor."
NM-2603,2026-01-07,Moran Gas Compressor Station,Confined space entry,HSE Officer,"Two workers entered the separator sump for cleaning without gas testing being carried out and without forced ventilation. H2S was later detected at the manway and there was no hole watch posted; the confined space permit had expired the previous shift."
NM-2604,2026-01-09,Duliajan LPG Bottling Plant,Hot work,Maintenance Engineer,"A fitter used an angle grinder next to the LPG filling carousel. The hot work permit covered a different bay, no fire watch was present and the gas test was six hours old. Sparks were seen falling towards the filled cylinder pallet."
NM-2605,2026-01-11,Kumchai Pipeline RoW,Excavation,Pipeline Foreman,"An excavator struck a buried cable while trenching along the right of way. The utility survey drawing was not available at site and no hand digging was done within the marked corridor. The cable was later found to be a live 415 V lighting feeder."
NM-2606,2026-01-12,Naharkatiya Rig-12,Lifting operation,Crane Operator,"The crane lifted a 4 tonne mud pump module over the shale shaker area while two contractor crew were still working underneath. The lift plan had no exclusion zone marked and the banksman was attending another lift."
NM-2607,2026-01-14,Duliajan OCS-4,Equipment maintenance,Electrician,"Second occurrence at OCS-4 this month: the motor control centre panel door was left open with the isolator still in the ON position while a fuse was replaced. The technician relied on a colleague's word that the feeder was dead rather than testing it."
NM-2608,2026-01-15,Moran Field Road,Driving,Transport Officer,"A crew bus overtook a tanker on the Moran field road in fog and returned to the lane sharply to avoid an oncoming tractor. The journey management plan had not been raised and the driver had completed eleven hours behind the wheel."
NM-2609,2026-01-16,Duliajan Workshop,Housekeeping,Workshop Supervisor,"Loose chequered plate found near the workshop entrance. It was refitted the same morning and no one was working in the area at the time."
NM-2610,2026-01-17,Duliajan Camp,Housekeeping,Camp Warden,"Minor oil spillage on the canteen floor near the service counter. Cleaned within ten minutes with absorbent granules and the area was cordoned during cleaning."
NM-2611,2026-01-18,Naharkatiya Stores,Manual handling,Stores Keeper,"A storekeeper complained of back strain after lifting cartons above shoulder height. No injury reported; the stacking method has been changed and a step platform provided."
NM-2612,2026-01-19,Moran Gas Compressor Station,Inspection,HSE Officer,"Unsafe condition reported near the compressor skid."
NM-2613,2026-01-20,Duliajan OCS-2,Routine round,Operator,"Observation raised during the shift round."
NM-2614,2026-01-21,Kumchai Drilling Site,Well control,Driller,"Gas cut mud was observed at the flow line with an increase in pit volume during a connection. The well was shut in at the annular preventer within two minutes. The trip tank had not been monitored for the previous two connections."
NM-2615,2026-01-22,Duliajan Effluent Treatment Plant,Chemical handling,Plant Chemist,"A dosing line carrying concentrated sodium hypochlorite was opened without draining the header. The operator was wearing a face shield but stood directly in line with the flange; splash reached the chest area of the coverall."
NM-2616,2026-01-23,Naharkatiya Rig-12,Working at height,Safety Officer,"Third report from Rig-12: scaffold platform erected around the mud tank had one missing toe board and the access ladder was not tied. Two people were working on the platform when it was inspected."
NM-2617,2026-01-24,Duliajan Substation,Electrical work,Electrical Foreman,"Live-line work observed on the 33 kV switchyard bay isolator without a written permit. The earthing switch position was not verified and the work party had no shock-rescue equipment at site."
NM-2618,2026-01-25,Moran Field,Ground disturbance,Survey Assistant,"Unattended open excavation of about 1.5 m depth found near the approach road with no barricade or warning light after dark. Cattle were seen inside the trench the following morning."
