report_id,sif_label,rule,report,note
WH-T01,1,Working at Height,"During gasket replacement on the flare stack platform at 22 m the technician lanyard was clipped to the handrail instead of the anchor point and the secondary hook was missing.",anchored to the wrong thing - implicit fall protection failure
WH-T02,1,Working at Height,"A rigger working on an elevated platform at 15 metres was found without a harness and the lanyard was not hooked to any anchor point.",explicit fall protection failure
WH-T03,1,Working at Height,"While replacing a flood light on the derrick at height the crew member ladder was unsecured and the toe board was missing along the access platform.",unsecured access plus missing edge protection
WH-T04,1,Working at Height,"Scaffold erection at the tank farm reached 9 m the scaffold tag had expired and edge protection was missing along the platform.",expired scaffold tag - inspection lapse at height
WH-N01,0,Working at Height,"A technician worked on the flare stack platform at 20 m fully harnessed with the lanyard clipped to the certified anchor point and the scaffold tag current.",negative control - same energy with the barrier holding
WH-N02,0,Working at Height,"A worker tightened a walkway bolt at ground level and no elevated work was involved at any point.",negative control - no high energy present
EI-T01,1,Energy Isolation,"At the 33 kV switchyard the isolator was still in the on position when the electrician began cable jointing and no test for dead had been carried out.",verification skipped - isolation failure stated as an observation
EI-T02,1,Energy Isolation,"During transformer maintenance at the MCC room the breaker was left closed and no isolation certificate had been raised before work started.",explicit isolation failure
EI-T03,1,Energy Isolation,"A fitter began cable jointing on the feeder cable after he relied on the operator word that it was dead and without earthing being applied.",assurance accepted in place of a test
EI-T04,1,Energy Isolation,"During line breaking on the process line to replace a valve the crew worked without draining the line first and the isolation was not verified beforehand.",stored energy released with isolation unverified
EI-N01,0,Energy Isolation,"At the 33 kV switchyard the isolator was verified in the off position and LOTO was applied and tagged before cable jointing began.",negative control - isolation applied and verified
EI-N02,0,Energy Isolation,"A clerk unplugged a desk lamp in the office building so the area could be cleaned.",negative control - no high energy present
LF-T01,1,Line of Fire,"During the crane lift of a compressor skid two riggers stood directly under the suspended load while positioning the tag line.",personnel in the line of fire of a suspended load
LF-T02,1,Line of Fire,"While pressure testing the flow line a whipping hose broke loose and struck a technician who was standing in line with the flange.",stored pressure released towards a person
LF-T03,1,Line of Fire,"The banksman left his position during the reversing manoeuvre and nobody was directing the tanker near the loading bay which came within one metre of a pedestrian.",exclusion control absent around vehicle motion
LF-N01,0,Line of Fire,"During the crane lift of a compressor skid the exclusion zone was barricaded and tag lines kept all personnel clear of the suspended load.",negative control - exclusion zone in place
LF-N02,0,Line of Fire,"A rigger inspected an empty pallet rack in the warehouse with no lifting operation in progress.",negative control - no high energy present
CS-T01,1,Confined Space,"Two operators entered the interceptor pit at the effluent treatment plant for desludging without gas testing being carried out and without forced ventilation and no standby man was posted at the manhole.",atmospheric controls entirely absent
CS-T02,1,Confined Space,"A contractor entered a vessel following nitrogen purge to retrieve a dropped tool without breathing apparatus and the gas detector had been bypassed beforehand.",asphyxiant atmosphere with detection defeated
CS-T03,1,Confined Space,"During tank entry for internal inspection the atmosphere was not tested before entry and ventilation was inadequate and the crew proceeded regardless.",entry without atmospheric verification
CS-N01,0,Confined Space,"During tank entry for internal inspection gas testing was completed and forced ventilation was running and a hole watch was posted throughout.",negative control - atmospheric controls held
CS-N02,0,Confined Space,"A supervisor reviewed the permit to work register in the site office and no vessel or tank entry took place that shift.",negative control - no entry and no high energy
ML-T01,1,Safe Mechanical Lifting,"A crane lift of the compressor skid was carried out using a frayed sling that had not been inspected for the current quarter.",defective lifting gear in service
ML-T02,1,Safe Mechanical Lifting,"During the rigging of a casing string the load chart was not consulted and a rigger stood under the boom while the crane took the weight.",person under the boom during a lift
ML-T03,1,Safe Mechanical Lifting,"A forklift lifted a pallet using a damaged sling which remained in service with no third party certificate available.",uncertified damaged gear
ML-N01,0,Safe Mechanical Lifting,"A crane lift of the compressor skid used a certified sling within its inspection date with the exclusion zone barricaded and all personnel clear of the load.",negative control - lifting controls held
ML-N02,0,Safe Mechanical Lifting,"A storekeeper counted sling inventory in the warehouse and no lifting operation was performed.",negative control - no lift in progress
HW-T01,1,Hot Work,"A fitter used an angle grinder near the tank farm and no fire watch was posted and the gas test had not been repeated after the shift break.",ignition source with fire controls absent
HW-T02,1,Hot Work,"Welding was carried out on a pipe rack without a hot work permit and combustibles not removed from the area beforehand.",hot work outside permit control
HW-T03,1,Hot Work,"Gas cutting was performed on a drum believed to be empty and the gas free certificate had expired and no fire extinguisher was available nearby.",expired gas free certificate before cutting
HW-N01,0,Hot Work,"Welding was carried out on the pipe rack under a valid hot work permit with a fire watch posted and a current gas test on file.",negative control - fire controls held
HW-N02,0,Hot Work,"A technician labelled cable trays with a marker pen in the warehouse during stock checking.",negative control - no ignition source
DR-T01,1,Driving,"The tanker driver had been fourteen hours behind the wheel without rest and was reversing without a banksman near the loading bay.",fatigue plus reversing control absent
DR-T02,1,Driving,"A pick up overtook a convoy vehicle on a blind curve in fog and the journey management plan had not been prepared for the trip.",journey management breached in poor visibility
DR-T03,1,Driving,"The driver of the casing transport tanker was found without a seat belt on the haul road while exceeding the speed limit for that section.",seat belt and speed control breached
DR-N01,0,Driving,"The tanker driver wore a seat belt and kept within the speed limit and a banksman guided the reversing manoeuvre near the loading bay.",negative control - journey controls held
DR-N02,0,Driving,"A driver completed a pre trip inspection checklist before leaving the yard and no defects were found.",negative control - no vehicle motion hazard
BP-T01,1,Bypassing Safety Controls,"The process operator jumpered out the high level trip on the separator so that production could continue during the alarm fault.",protective device defeated to keep running
BP-T02,1,Bypassing Safety Controls,"The ESD was bypassed on the high pressure compressor after a false trip and the interlock remained inhibited for the rest of the shift.",shutdown system inhibited on pressurised plant
BP-N01,0,Bypassing Safety Controls,"An alarm fault was investigated and the ESD interlock was confirmed functional and left engaged on the high pressure compressor throughout the shift.",negative control - protective device intact
WA-T01,1,Work Authorisation,"Cable jointing began on the 11 kV feeder without a written permit and the toolbox talk was not conducted before work started.",electrical work outside permit control
WA-T02,1,Work Authorisation,"A crew started hot tapping on a pressurised pipeline and the permit had expired the previous shift and no JSA was available for the task.",expired permit on live pressurised plant
WA-N01,0,Work Authorisation,"Cable jointing began on the 11 kV feeder only after a written permit was raised and the toolbox talk was conducted for the crew.",negative control - authorisation in place
EX-T01,1,Excavation & Ground Disturbance,"Excavation near a buried cable crossing began when no underground utility survey had been carried out and the trench exceeded 2 m in depth with no shoring installed.",dig started without a utility survey
EX-T02,1,Excavation & Ground Disturbance,"A backhoe operator continued digging in a trench without a permit after the ground had shown signs of cave in near the edge.",unpermitted dig with collapse indications
EX-N01,0,Excavation & Ground Disturbance,"Excavation near the buried cable crossing followed a completed underground utility survey with shoring installed and a valid permit on site throughout the work.",negative control - ground disturbance controls held
WC-T01,1,Well Control & Process Containment,"During the well workover at the wellhead the trip tank had not been monitored for over an hour and no flow check was carried out during the connection.",well monitoring lapse during a workover
WC-T02,1,Well Control & Process Containment,"A hydrocarbon leak was detected at the flange during pigging operations and the barrier failed with no second barrier in place to contain the release.",containment barrier failure with no backup
WC-N01,0,Well Control & Process Containment,"During the well workover at the wellhead the trip tank was continuously monitored and flow checks were carried out at every connection.",negative control - well monitoring maintained
MX-T01,1,Energy Isolation,"Nothing serious to report the crew worked on the live 11 kV feeder without any isolation or earthing applied and it was business as usual.",minimising wording over a real isolation failure
MX-T02,1,Confined Space,"It was not really a problem a technician entered the confined space without gas testing or ventilation and it is all in a day work here.",minimising wording over a real atmospheric failure
GN-N01,0,Unclassified / General HSE,"An operator noted an oil spill near the walkway which left the area slippery underfoot and housekeeping was arranged.",housekeeping only - no high energy source
GN-N02,0,Unclassified / General HSE,"A visitor left a bag unattended in the reception area which was raised as a minor security observation.",administrative observation only
GN-N03,0,Unclassified / General HSE,"Office lighting in the administrative block flickered during a routine round and maintenance was informed for follow up.",no energy and no barrier failure
